S.No,StationId,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,StationName,City,State,Status,Region,Month,Year,Season,Weekday_or_weekend,Regular_day_or_holiday,AQ_Acceptability
1,AP001,25-11-2017,81.4,124.5,1.44,20.5,12.08,10.72,0.12,15.24,127.09,0.2,6.5,0.06,184,Moderate,"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,Active,5. Western,11. Nov,2017,4. Post-Monsoon,Weekend,Regular day,Unacceptable
2,AP001,26-11-2017,78.32,129.06,1.26,26,14.85,10.28,0.14,26.96,117.44,0.22,7.95,0.08,197,Moderate,"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,Active,5. Western,11. Nov,2017,4. Post-Monsoon,Weekend,Regular day,Unacceptable
3,AP001,27-11-2017,88.76,135.32,6.6,30.85,21.77,12.91,0.11,33.59,111.81,0.29,7.63,0.12,198,Moderate,"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,Active,5. Western,11. Nov,2017,4. Post-Monsoon,Weekday,Regular day,Unacceptable
4,AP001,28-11-2017,64.18,104.09,2.56,28.07,17.01,11.42,0.09,19,138.18,0.17,5.02,0.07,188,Moderate,"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,Active,5. Western,11. Nov,2017,4. Post-Monsoon,Weekday,Regular day,Unacceptable
5,AP001,29-11-2017,72.47,114.84,5.23,23.2,16.59,12.25,0.16,10.55,109.74,0.21,4.71,0.08,173,Moderate,"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,Active,5. Western,11. Nov,2017,4. Post-Monsoon,Weekday,Regular day,Unacceptable
6,AP001,30-11-2017,69.8,114.86,4.69,20.17,14.54,10.95,0.12,14.07,118.09,0.16,3.52,0.06,165,Moderate,"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,Active,5. Western,11. Nov,2017,4. Post-Monsoon,Weekday,Regular day,Unacceptable
7,AP001,01-12-2017,73.96,113.56,4.58,19.29,13.97,10.95,0.1,13.9,123.8,0.17,2.85,0.04,191,Moderate,"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,Active,5. Western,12. Dec,2017,4. Post-Monsoon,Weekday,Regular day,Unacceptable
8,AP001,02-12-2017,89.9,140.2,7.71,26.19,19.87,13.12,0.1,19.37,128.73,0.25,2.79,0.07,191,Moderate,"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,Active,5. Western,12. Dec,2017,4. Post-Monsoon,Weekend,Regular day,Unacceptable
9,AP001,03-12-2017,87.14,130.52,0.97,21.31,12.12,14.36,0.15,11.41,114.8,0.23,3.82,0.04,227,Poor,"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,Active,5. Western,12. Dec,2017,4. Post-Monsoon,Weekend,Regular day,Unacceptable
10,AP001,04-12-2017,84.64,125,4.02,26.98,17.58,14.41,0.18,9.84,112.41,0.31,3.53,0.09,168,Moderate,"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,Active,5. Western,12. Dec,2017,4. Post-Monsoon,Weekday,Regular day,Unacceptable
